Data;Casi per settimana
10 - 16 mar;3
17 - 23 mar;9
24 - 30 mar;16
31 mar - 6 apr;10
7 - 13 apr;5
14 - 20 apr;2
21 - 27 apr;1
28 apr - 4 mag;1
5 - 11 mag;1
12 - 18 mag;3
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;1
16 - 22 giu;1
23 - 29 giu;0
30 giu - 6 lug;1
7 - 13 lug;0
14 - 20 lug;1
21 - 27 lug;1
28 lug - 3 ago;2
4 - 10 ago;0
11 - 17 ago;1
18 - 24 ago;0
25 - 31 ago;3
1 - 7 set;0
8 - 14 set;3
15 - 21 set;5
22 - 28 set;6
29 set - 5 ott;7
6 - 12 ott;1
13 - 19 ott;5
20 - 26 ott;14
27 ott - 2 nov;30
3 - 9 nov;53
10 - 16 nov;102
17 - 23 nov;275
24 - 30 nov;47
1 - 7 dic;79
8 - 14 dic;47
15 - 21 dic;63
22 - 28 dic;213
29 dic - 4 gen;260
5 -11 gen;238
12 - 18 gen;106
19 - 25 gen;81
26 gen - 1 feb;131
2 - 8 feb;105
9 - 15 feb;111
16 - 22 feb;148
23 feb - 1 mar;125
2 - 8 mar;72
9 - 15 mar;156
16 - 22 mar;113
23 - 29 mar;105
30 mar - 5 apr;79
6 - 12 apr;114
13 - 19 apr;70
20 - 26 apr;120
27 apr - 3 mag;105
4 - 10 mag;81
11 - 17 mag;59
