Data;Casi per settimana
10 - 16 mar;10
17 - 23 mar;27
24 - 30 mar;18
31 mar - 6 apr;11
7 - 13 apr;4
14 - 20 apr;0
21 - 27 apr;0
28 apr - 4 mag;1
5 - 11 mag;0
12 - 18 mag;0
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;1
30 giu - 6 lug;0
7 - 13 lug;1
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;2
18 - 24 ago;1
25 - 31 ago;3
1 - 7 set;7
8 - 14 set;0
15 - 21 set;0
22 - 28 set;2
29 set - 5 ott;1
6 - 12 ott;4
13 - 19 ott;3
20 - 26 ott;36
27 ott - 2 nov;24
3 - 9 nov;132
10 - 16 nov;113
17 - 23 nov;292
24 - 30 nov;234
1 - 7 dic;177
8 - 14 dic;71
15 - 21 dic;87
22 - 28 dic;33
29 dic - 4 gen;41
5 -11 gen;92
12 - 18 gen;59
19 - 25 gen;35
26 gen - 1 feb;34
2 - 8 feb;17
9 - 15 feb;35
16 - 22 feb;31
23 feb - 1 mar;43
2 - 8 mar;71
9 - 15 mar;170
16 - 22 mar;185
23 - 29 mar;195
30 mar - 5 apr;237
6 - 12 apr;213
13 - 19 apr;203
20 - 26 apr;186
