Data;Casi per settimana
10 - 16 mar;17
17 - 23 mar;38
24 - 30 mar;30
31 mar - 6 apr;20
7 - 13 apr;7
14 - 20 apr;0
21 - 27 apr;0
28 apr - 4 mag;1
5 - 11 mag;0
12 - 18 mag;4
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;1
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;1
30 giu - 6 lug;0
7 - 13 lug;2
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;4
18 - 24 ago;2
25 - 31 ago;5
1 - 7 set;10
8 - 14 set;0
15 - 21 set;0
22 - 28 set;2
29 set - 5 ott;2
6 - 12 ott;6
13 - 19 ott;5
20 - 26 ott;61
27 ott - 2 nov;41
3 - 9 nov;223
10 - 16 nov;190
17 - 23 nov;493
24 - 30 nov;394
1 - 7 dic;301
8 - 14 dic;120
15 - 21 dic;146
22 - 28 dic;57
29 dic - 4 gen;69
5 -11 gen;155
12 - 18 gen;98
19 - 25 gen;59
26 gen - 1 feb;57
2 - 8 feb;30
9 - 15 feb;50
16 - 22 feb;53
23 feb - 1 mar;72
2 - 8 mar;120
9 - 15 mar;287
16 - 22 mar;311
23 - 29 mar;328
30 mar - 5 apr;398
6 - 12 apr;358
13 - 19 apr;338
