data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati
10/03/20;;;0;0;0;0
11/03/20;3,219653484;3,219653484;1;0;0;0
12/03/20;3,806191235;3,806191235;5;0;0;0
13/03/20;4,075185921;4,075185921;1;0;0;0
14/03/20;4,200647524;4,200647524;-2;0;0;2
15/03/20;4,202219089;4,202219089;12;0;0;5
16/03/20;4,005296882;4,005296882;0;0;0;5
17/03/20;3,631290049;3,631290049;4;0;0;4
18/03/20;3,377563314;3,377563314;2;1;0;4
19/03/20;2,988796838;2,988796838;16;0;0;6
20/03/20;2,730042004;2,730042004;6;0;0;13
21/03/20;2,427483991;2,427483991;5;0;0;14
22/03/20;2,162659088;2,162659088;11;0;0;15
23/03/20;1,913672253;1,913672253;1;0;0;18
24/03/20;1,722458943;1,722458943;4;0;0;18
25/03/20;1,54429458;1,54429458;5;0;0;17
26/03/20;1,368276911;1,368276911;9;0;0;17
27/03/20;1,219982212;1,219982212;0;1;0;19
28/03/20;1,079743212;1,079743212;7;0;0;20
29/03/20;0,957532623;0,957532623;3;1;0;19
30/03/20;0,850644811;0,850644811;3;1;0;18
31/03/20;0,754887034;0,754887034;0;0;0;22
01/04/20;0,658570605;0,658570605;1;0;0;22
02/04/20;0,574717491;0,574717491;0;0;0;21
03/04/20;0,494828587;0,494828587;12;0;0;22
04/04/20;0,452564369;0,452564369;0;0;0;22
05/04/20;0,430067441;0,430067441;3;0;0;22
06/04/20;0,417873805;0,417873805;2;1;3;19
07/04/20;0,407519263;0,407519263;1;0;0;19
08/04/20;0,408660486;0,408660486;1;0;0;19
09/04/20;0,423201955;0,423201955;0;0;1;18
10/04/20;0,423593969;0,423593969;0;0;0;18
11/04/20;0,43351697;0,43351697;0;1;1;17
12/04/20;0,428741304;0,428741304;4;0;0;17
13/04/20;0,424678248;0,424678248;0;0;0;17
14/04/20;0,425666269;0,425666269;0;0;0;17
15/04/20;0,426426987;0,426426987;0;0;0;17
16/04/20;0,41641869;0,41641869;0;0;2;15
17/04/20;0,329630447;0,329630447;0;0;1;14
18/04/20;0,155693973;0,155693973;0;0;0;14
19/04/20;0,067858232;0,067858232;0;0;0;14
20/04/20;0,056438264;0,056438264;0;0;10;14
21/04/20;0,026114209;0,026114209;0;0;0;14
22/04/20;0,016016111;0,016016111;0;0;3;13
23/04/20;0,01963689;0,01963689;0;0;4;13
24/04/20;0,029025289;0,029025289;0;0;1;13
25/04/20;0,054867656;0,054867656;0;0;0;13
26/04/20;0,101002648;0,101002648;0;0;1;13
27/04/20;0,171240138;0,171240138;0;0;0;13
28/04/20;0,279271996;0,279271996;0;0;0;13
29/04/20;0,45268772;0,45268772;1;0;2;11
30/04/20;0,690690973;0,690690973;0;0;11;9
01/05/20;0,910387371;0,910387371;0;0;0;9
02/05/20;0,891005754;0,891005754;0;0;1;8
03/05/20;0,871818324;0,871818324;0;0;0;7
04/05/20;;;0;0;13;7
05/05/20;;;0;0;11;7
06/05/20;;;0;0;2;7
07/05/20;;;0;0;1;7
08/05/20;;;0;0;4;7
09/05/20;;;0;0;2;5
10/05/20;;;0;0;0;5
11/05/20;;;0;0;0;5
12/05/20;;;0;0;0;5
13/05/20;;;0;0;0;5
14/05/20;;;0;0;0;5
