data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati
10/03/20;;;0;0;0;0
11/03/20;3,219653;3,219653;1;0;0;0
12/03/20;3,806191;3,806191;5;0;0;0
13/03/20;4,075186;4,075186;1;0;0;0
14/03/20;4,200648;4,200648;-2;0;0;2
15/03/20;4,202219;4,202219;12;0;0;5
16/03/20;4,005297;4,005297;0;0;0;5
17/03/20;3,63129;3,63129;4;0;0;4
18/03/20;3,377563;3,377563;2;1;0;4
19/03/20;2,988797;2,988797;16;0;0;6
20/03/20;2,730042;2,730042;6;0;0;13
21/03/20;2,427484;2,427484;5;0;0;14
22/03/20;2,162659;2,162659;11;0;0;15
23/03/20;1,913672;1,913672;1;0;0;18
24/03/20;1,722459;1,722459;4;0;0;18
25/03/20;1,544295;1,544295;5;0;0;17
26/03/20;1,368277;1,368277;9;0;0;17
27/03/20;1,219982;1,219982;0;1;0;19
28/03/20;1,079743;1,079743;7;0;0;20
29/03/20;0,957533;0,957533;3;1;0;19
30/03/20;0,850645;0,850645;3;1;0;18
31/03/20;0,754887;0,754887;0;0;0;22
01/04/20;0,658571;0,658571;1;0;0;22
02/04/20;0,574717;0,574717;0;0;0;21
03/04/20;0,494829;0,494829;12;0;0;22
04/04/20;0,452564;0,452564;0;0;0;22
05/04/20;0,430067;0,430067;3;0;0;22
06/04/20;0,417874;0,417874;2;1;3;19
07/04/20;0,407519;0,407519;1;0;0;19
08/04/20;0,40866;0,40866;1;0;0;19
09/04/20;0,423202;0,423202;0;0;1;18
10/04/20;0,423594;0,423594;0;0;0;18
11/04/20;0,433517;0,433517;0;1;1;17
12/04/20;0,428741;0,428741;4;0;0;17
13/04/20;0,424678;0,424678;0;0;0;17
14/04/20;0,425666;0,425666;0;0;0;17
15/04/20;0,426427;0,426427;0;0;0;17
16/04/20;0,416419;0,416419;0;0;2;15
17/04/20;0,32963;0,32963;0;0;1;14
18/04/20;0,155694;0,155694;0;0;0;14
19/04/20;0,067858;0,067858;0;0;0;14
20/04/20;0,056438;0,056438;0;0;10;14
21/04/20;0,026114;0,026114;0;0;0;14
22/04/20;0,016016;0,016016;0;0;3;13
23/04/20;0,019637;0,019637;0;0;4;13
