data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati
10/03/20;;;-1;0;0;0
11/03/20;;;4;0;0;0
12/03/20;;;0;0;0;0
13/03/20;;;0;0;0;0
14/03/20;;;12;0;0;0
15/03/20;;;-11;0;0;0
16/03/20;;;0;0;0;0
17/03/20;;;0;0;0;0
18/03/20;;;2;0;0;0
19/03/20;1,859189;1,838859;0;0;0;0
20/03/20;1,603355;1,569808;0;0;0;0
21/03/20;1,460756;1,415977;3;0;0;2
22/03/20;1,330082;1,281118;3;0;0;2
23/03/20;1,258645;1,207063;6;0;0;2
24/03/20;1,227263;1,172543;1;0;0;2
25/03/20;1,221801;1,166846;2;0;0;2
26/03/20;1,252709;1,200691;5;1;0;3
27/03/20;1,269658;1,222879;1;0;0;3
28/03/20;1,284608;1,245886;10;0;0;3
29/03/20;1,283355;1,254852;0;0;0;3
30/03/20;1,265922;1,249635;5;0;0;5
31/03/20;1,244012;1,242356;0;0;0;5
01/04/20;1,235411;1,251648;0;0;0;5
02/04/20;1,244971;1,271075;4;0;0;4
03/04/20;1,224616;1,25913;6;1;0;4
04/04/20;1,165893;1,204276;3;0;0;7
05/04/20;1,109955;1,153163;3;3;1;7
06/04/20;1,029394;1,074674;0;-1;0;8
07/04/20;0,914312;0,956633;0;0;0;8
08/04/20;0,792025;0,830159;1;0;0;8
09/04/20;0,694188;0,728526;0;0;0;8
10/04/20;0,617211;0,646818;4;1;0;9
11/04/20;0,551095;0,57564;3;0;3;8
12/04/20;0,505673;0,524609;0;0;0;8
13/04/20;0,478836;0,491571;0;0;0;8
14/04/20;0,459783;0,465986;0;0;2;7
15/04/20;0,410712;0,410712;0;0;1;6
16/04/20;0,361203;0,361203;2;0;1;5
17/04/20;0,36368;0,36368;0;0;0;5
18/04/20;0,387654;0,387654;0;0;0;5
19/04/20;0,414999;0,414999;1;0;2;3
20/04/20;0,448218;0,448218;0;0;0;3
21/04/20;0,494791;0,494791;0;0;0;3
22/04/20;0,537572;0,537572;0;0;0;3
23/04/20;0,486065;0,486065;0;0;0;3
24/04/20;0,4675;0,4675;1;0;1;2
25/04/20;0,461911;0,461911;0;0;1;1
26/04/20;0,485012;0,485012;0;0;0;1
27/04/20;0,538754;0,538754;1;0;0;1
28/04/20;0,604017;0,604017;0;0;1;1
29/04/20;0,602651;0,602651;2;0;1;0
30/04/20;0,470407;0,470407;0;0;0;0
01/05/20;;;0;0;0;0
02/05/20;;;0;0;0;0
03/05/20;;;0;0;1;0
04/05/20;;;0;0;2;0
05/05/20;;;0;0;2;0
06/05/20;;;0;0;0;0
07/05/20;;;0;0;0;0
08/05/20;;;0;0;1;0
09/05/20;;;0;0;0;0
10/05/20;;;1;0;0;0
11/05/20;;;0;0;0;0
12/05/20;;;0;0;1;0
13/05/20;;;1;0;0;0
14/05/20;;;0;0;2;0
15/05/20;;;0;0;14;0
16/05/20;;;4;0;0;0
17/05/20;;;0;0;10;0
