Data;Rt_positivi;Rt_sintomatici;Nuovi casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva;Tamponi_giornalieri;Nuovi_casi_0_5 ;Nuovi_casi_6_12;Nuovi_casi_13_19;Nuovi_casi_20_29;Nuovi_casi_30_39;Nuovi_casi_40_49;Nuovi_casi_50_59;Nuovi_casi_60_69;Nuovi_casi_70_79;Nuovi_casi_80_89;Nuovi_casi_90;Ricoveri_0_5 ;Ricoveri_6_12;Ricoveri_13_19;Ricoveri_20_29;Ricoveri_30_39;Ricoveri_40_49;Ricoveri_50_59;Ricoveri_60_69;Ricoveri_70_79;Ricoveri_80_89;Ricoveri_90;Terapia_intensiva_5_11;Terapia_intensiva_6_12;Terapia_intensiva_13_19;Terapia_intensiva_20_29;Terapia_intensiva_30_39;Terapia_intensiva_40_49;Terapia_intensiva_50_59;Terapia_intensiva_60_69;Terapia_intensiva_70_79;Terapia_intensiva_80_89;Terapia_intensiva_90;Deceduti_5_11;Deceduti_6_12;Deceduti_13_19;Deceduti_20_29;Deceduti_30_39;Deceduti_40_49;Deceduti_50_59;Deceduti_60_69;Deceduti_70_79;Deceduti_80_89;Deceduti_90
24/02/20;;;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/20;;;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/20;;;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/02/20;1,984416947;2,092167085;0;0;0;0;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/20;2,092965187;2,298867833;1;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/02/20;2,300616481;2,552771698;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/20;2,534202466;2,803462811;0;0;0;0;0;8;0;0;0;0;0;0;0,142857143;0,428571429;0,142857143;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/20;2,750124295;3,014104537;0;0;0;0;0;4;0;0;0;0,142857143;0;0;0,142857143;0,571428571;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/20;2,952352483;3,189493307;0;0;0;0;0;0;0;0;0;0,285714286;0;0;0,428571429;0,714285714;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/20;3,051537063;3,247776035;0;0;0;0;0;7;0;0;0;0,285714286;0;0;0,571428571;0,714285714;0,285714286;0;0;0;0;0;0,142857143;0;0;0,285714286;0,571428571;0,142857143;0;0;;;;;;;;;;;;;;;;;;;;;;
