Data;Pfizer/BioNTech;Moderna;Vaxzevria (AstraZeneca);Janssen
27-dic;280;;;
28 dic - 3 gen;12.675;;;
4 - 10 gen;10.725;;;
11 - 17 gen;15.600;;;
18 - 24 gen;9.360;;;
25 - 31 gen;14.040;;;
1 - 7 feb;15.210;2.100;;
8 - 14 feb;16.380;3.900;17.300;
15 - 21 feb;18.720;;16.100;
22 - 28 feb;19.890;;13.600;
1 -7 mar;19.890;7.700;;
8 - 14 mar;22.230;;29.022;
15 - 21 mar;21.060;7.800;61;
22 - 28 mar;22.230;;8.595;
29 mar - 4 apr;32.760;15.200;40.625;
5 - 11 apr;49.140;;97;
12 - 18 apr;49.140;;5.100;
19 - 25 apr;49.140;12.700;9.500;5.600
26 apr - 2 mag;67.860;15.100;61.834;4.900
3 - 9 mag;65.520;11.212;;
10 - 16 mag;76.050;91;9.000;4.900
17 - 23 mag;76.050;11.236;39;6.500
24 - 30 mag;64.350;22.434;10.468;23.800
31 mag - 6 giu;112.320;11.083;49.424;10.400
7 - 13 giu;101.790;5.063;5.725;4.900
14 - 20 giu;92.430;32.808;16.300;4.500
21 - 27 giu;112.320;17.124;20.061;4.400
28 giu - 4 lug;111.150;14.345;2.100;6.400
5 - 11 lug;66.690;15.789;;
12 - 18 lug;66.690;28;25.013;
19 - 25 lug;66.690;33.009;;
26 lug - 1 ago;64.350;11;30.000;
2 - 8 ago;69.030;20.519;;
9 - 15 ago;71.370;;8.000;
16 - 22 ago;112.320;43.200;;
23 - 29 ago;108.810;;;
30 ago - 5 set;62.010;9;;
